 ,Streptococcus_pyogenes.fna,Escherichia_coli.fna,Listeria_monocytogenes.fna,Bifidobacterium_longum.fna,Xanthomonas_oryzae.fna,Corynebacterium_glutamicum.fna,Mycoplasma_pneumoniae.fna,Caulobacter_vibrioides.fna,Bacillus_cereus.fna
Streptococcus_pyogenes.fna,0.0,4.2890212254485524e-05,4.014809752037427e-23,0.37085902190148834,0.5924459286744608,0.00023231680586640566,1.1855410298718546e-15,0.650419586443596,4.743459870261663e-20
Escherichia_coli.fna,4.2890212254485524e-05,0.0,1.603103787046376e-05,1.4092800198169863e-13,7.386790624186771e-14,1.1374720014753512e-14,1.7472269869423273e-08,9.35564984159874e-09,0.0023796401010121888
Listeria_monocytogenes.fna,4.014809752037427e-23,1.603103787046376e-05,0.0,0.43408141930945254,0.5641113903707009,0.0010727755476617618,1.805602047638943e-11,0.5411959620846887,1.8007709060489434e-28
Bifidobacterium_longum.fna,0.37085902190148834,1.4092800198169863e-13,0.43408141930945254,0.0,2.2533257212356926e-32,2.2517668077032408e-17,0.002734700954798375,3.514057526046739e-28,0.7097309584434077
Xanthomonas_oryzae.fna,0.5924459286744608,7.386790624186771e-14,0.5641113903707009,2.2533257212356926e-32,0.0,3.552447106701613e-14,0.006856691055870444,8.310893356907313e-30,0.5150091712631828
Corynebacterium_glutamicum.fna,0.00023231680586640566,1.1374720014753512e-14,0.0010727755476617618,2.2517668077032408e-17,3.552447106701613e-14,0.0,6.993454856860866e-07,8.947528209274681e-11,0.07047996812336166
Mycoplasma_pneumoniae.fna,1.1855410298718546e-15,1.7472269869423273e-08,1.805602047638943e-11,0.002734700954798375,0.006856691055870444,6.993454856860866e-07,0.0,0.11442857785425024,5.233101760400798e-08
Caulobacter_vibrioides.fna,0.650419586443596,9.35564984159874e-09,0.5411959620846887,3.514057526046739e-28,8.310893356907313e-30,8.947528209274681e-11,0.11442857785425024,0.0,0.06383467809906346
Bacillus_cereus.fna,4.743459870261663e-20,0.0023796401010121888,1.8007709060489434e-28,0.7097309584434077,0.5150091712631828,0.07047996812336166,5.233101760400798e-08,0.06383467809906346,0.0
